EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week
1.01,79.3%,28.1%,LAR,ATL,3.0,2022,2
0.99,72.8%,12.1%,CIN,DAL,2.0,2022,2
0.99,69.1%,1.2%,LV,ARI,1.0,2022,2
0.92,69.0%,13.2%,CLE,NYJ,1.5,2022,2
0.91,63.7%,1.2%,KC,LAC,3.5,2022,2
0.89,62.1%,0.7%,BAL,MIA,2.5,2022,2
0.85,59.9%,1.8%,IND,JAX,2.0,2022,2
0.83,57.9%,0.6%,NE,PIT,1.0,2022,2
0.82,57.4%,0.7%,TB,NO,4.5,2022,2
0.82,56.9%,0.2%,PHI,MIN,3.0,2022,2
0.75,51.9%,0.4%,WAS,DET,0.5,2022,2
0.74,51.6%,0.3%,CAR,NYG,0.5,2022,2
0.69,48.4%,0.7%,NYG,CAR,1.0,2022,2
0.69,48.1%,0.8%,DET,WAS,0.5,2022,2
0.62,43.1%,0.3%,MIN,PHI,2.5,2022,2
0.61,42.6%,0.1%,NO,TB,1.5,2022,2
0.60,42.1%,0.8%,PIT,NE,0.5,2022,2
0.58,40.1%,0.1%,JAX,IND,0.5,2022,2
0.55,37.9%,0.1%,MIA,BAL,2.0,2022,2
0.53,36.3%,0.1%,LAC,KC,3.0,2022,2
0.51,31.0%,0.1%,NYJ,CLE,0.0,2022,2
0.45,30.9%,0.1%,ARI,LV,1.5,2022,2
0.45,27.2%,0.1%,DAL,CIN,2.0,2022,2
0.42,20.7%,0.0%,ATL,LAR,0.0,2022,2
0.36,22.7%,0.0%,TEN,BUF,1.5,2022,2
0.35,19.2%,0.0%,HOU,DEN,0.0,2022,2
0.35,21.8%,0.0%,CHI,GB,0.5,2022,2
0.34,22.9%,0.1%,SEA,SF,0.5,2022,2
1.12,70.6%,9.4%,MIN,DET,2.5,2022,3
1.09,64.7%,1.8%,CLE,PIT,1.0,2022,3
1.08,64.6%,2.2%,BUF,MIA,5.0,2022,3
1.06,68.9%,13.3%,PHI,WAS,3.0,2022,3
1.06,69.5%,14.7%,LAC,JAX,2.5,2022,3
1.04,69.4%,17.9%,CIN,NYJ,1.5,2022,3
1.03,61.2%,1.1%,LAR,ARI,3.0,2022,3
1.01,60.5%,2.6%,CHI,HOU,0.0,2022,3
0.94,56.4%,2.0%,BAL,NE,2.5,2022,3
0.93,55.2%,0.8%,NO,CAR,1.5,2022,3
0.91,54.0%,0.9%,LV,TEN,1.0,2022,3
0.90,66.0%,27.7%,KC,IND,3.5,2022,3
0.90,53.1%,0.6%,NYG,DAL,1.0,2022,3
0.89,52.8%,0.4%,TB,GB,4.5,2022,3
0.87,51.5%,0.6%,SF,DEN,2.5,2022,3
0.85,50.9%,1.5%,SEA,ATL,0.0,2022,3
0.84,49.1%,0.4%,ATL,SEA,0.0,2022,3
0.83,48.5%,0.1%,DEN,SF,2.0,2022,3
0.80,47.2%,0.1%,GB,TB,4.0,2022,3
0.80,46.9%,0.4%,DAL,NYG,2.0,2022,3
0.80,34.0%,0.0%,IND,KC,2.0,2022,3
0.79,46.0%,0.2%,TEN,LV,1.0,2022,3
0.77,44.8%,0.1%,CAR,NO,0.5,2022,3
0.76,43.6%,0.0%,NE,BAL,1.5,2022,3
0.69,39.5%,0.2%,HOU,CHI,0.0,2022,3
0.67,38.8%,0.0%,ARI,LAR,1.5,2022,3
0.66,30.6%,0.1%,NYJ,CIN,0.0,2022,3
0.64,30.5%,0.0%,JAX,LAC,0.5,2022,3
0.64,31.1%,0.0%,WAS,PHI,1.0,2022,3
0.62,35.4%,0.1%,MIA,BUF,2.5,2022,3
0.61,35.3%,0.4%,PIT,CLE,0.5,2022,3
0.57,29.4%,0.1%,DET,MIN,0.5,2022,3
1.11,70.9%,11.0%,PHI,JAX,4.5,2022,4
1.10,65.3%,0.9%,IND,TEN,1.5,2022,4
1.07,64.8%,3.1%,MIN,(n),3.0,2022,4
1.07,63.6%,1.9%,CIN,MIA,1.5,2022,4
1.06,68.2%,11.4%,LAC,HOU,1.0,2022,4
1.04,61.3%,0.5%,BUF,BAL,5.0,2022,4
0.99,78.2%,45.9%,GB,NE,3.5,2022,4
0.99,61.1%,5.8%,DET,SEA,0.5,2022,4
0.97,57.8%,1.7%,NYG,CHI,0.5,2022,4
0.96,57.0%,1.0%,LV,DEN,0.5,2022,4
0.96,59.4%,5.3%,PIT,NYJ,0.0,2022,4
0.95,59.2%,5.9%,DAL,WAS,1.5,2022,4
0.92,54.2%,0.1%,TB,KC,4.0,2022,4
0.92,53.7%,0.1%,SF,LAR,2.5,2022,4
0.89,52.2%,0.4%,CAR,ARI,0.5,2022,4
0.87,51.9%,0.9%,CLE,ATL,1.0,2022,4
0.82,48.1%,0.2%,ATL,CLE,0.0,2022,4
0.80,47.8%,1.2%,ARI,CAR,1.0,2022,4
0.78,46.3%,0.5%,LAR,SF,3.0,2022,4
0.78,45.8%,0.2%,KC,TB,3.0,2022,4
0.75,40.8%,0.1%,WAS,DAL,0.5,2022,4
0.74,40.6%,0.1%,NYJ,PIT,0.0,2022,4
0.74,43.0%,0.2%,DEN,LV,1.5,2022,4
0.73,42.2%,0.2%,CHI,NYG,0.0,2022,4
0.71,38.9%,0.2%,SEA,DET,0.0,2022,4
0.70,21.8%,0.0%,NE,GB,1.0,2022,4
0.66,38.7%,0.0%,BAL,BUF,3.0,2022,4
0.64,31.8%,0.1%,HOU,LAC,0.0,2022,4
0.63,36.4%,0.7%,MIA,CIN,2.5,2022,4
0.62,35.2%,0.1%,NO,(n),1.0,2022,4
0.59,34.7%,0.2%,TEN,IND,1.0,2022,4
0.59,29.1%,0.0%,JAX,PHI,1.5,2022,4
1.07,86.1%,33.4%,BUF,PIT,5.0,2022,5
1.04,76.7%,4.7%,GB,(n),3.0,2022,5
1.01,79.1%,20.2%,TB,ATL,3.5,2022,5
1.01,74.0%,3.6%,KC,LV,3.5,2022,5
1.00,75.9%,11.3%,MIN,CHI,3.0,2022,5
0.95,73.0%,14.0%,JAX,HOU,1.0,2022,5
0.93,67.3%,0.6%,LAR,DAL,2.0,2022,5
0.93,67.2%,1.1%,NO,SEA,0.5,2022,5
0.92,66.9%,0.5%,PHI,ARI,4.0,2022,5
0.90,67.0%,4.7%,SF,CAR,2.5,2022,5
0.86,62.3%,1.4%,DEN,IND,1.0,2022,5
0.84,60.6%,0.2%,BAL,CIN,3.0,2022,5
0.83,60.4%,0.9%,MIA,NYJ,2.0,2022,5
0.81,58.7%,0.6%,NE,DET,0.5,2022,5
0.73,52.8%,0.6%,LAC,CLE,1.5,2022,5
0.71,51.4%,1.2%,TEN,WAS,1.5,2022,5
0.68,48.6%,0.1%,WAS,TEN,0.5,2022,5
0.66,47.2%,0.0%,CLE,LAC,1.0,2022,5
0.57,41.3%,0.2%,DET,NE,0.0,2022,5
0.55,39.6%,0.1%,NYJ,MIA,0.0,2022,5
0.55,39.4%,0.0%,CIN,BAL,2.0,2022,5
0.53,37.7%,0.1%,IND,DEN,1.5,2022,5
0.48,33.0%,0.0%,CAR,SF,0.5,2022,5
0.46,33.1%,0.0%,ARI,PHI,1.0,2022,5
0.46,32.8%,0.1%,SEA,NO,0.5,2022,5
0.46,32.7%,0.0%,DAL,LAR,2.0,2022,5
0.44,27.0%,0.0%,HOU,JAX,0.0,2022,5
0.38,24.1%,0.0%,CHI,MIN,0.0,2022,5
0.38,26.0%,0.0%,LV,KC,1.0,2022,5
0.38,20.9%,0.0%,ATL,TB,0.5,2022,5
0.34,23.3%,0.0%,NYG,(n),1.0,2022,5
0.31,13.9%,0.0%,PIT,BUF,0.0,2022,5
1.13,76.1%,9.1%,GB,NYJ,2.0,2022,6
1.12,72.4%,1.7%,PHI,DAL,4.0,2022,6
1.05,68.2%,2.6%,BAL,NYG,3.0,2022,6
1.02,77.6%,30.6%,TB,PIT,3.5,2022,6
1.01,78.1%,34.0%,LAR,CAR,1.5,2022,6
0.96,63.6%,4.6%,LAC,DEN,1.0,2022,6
0.94,61.0%,2.2%,MIN,MIA,2.5,2022,6
0.94,60.3%,1.0%,CIN,NO,1.5,2022,6
0.92,63.8%,9.5%,SF,ATL,2.5,2022,6
0.91,58.3%,0.1%,BUF,KC,5.0,2022,6
0.90,57.8%,0.4%,CLE,NE,0.5,2022,6
0.86,55.0%,0.8%,ARI,SEA,0.5,2022,6
0.84,54.0%,0.8%,IND,JAX,1.0,2022,6
0.83,52.8%,0.5%,WAS,CHI,0.5,2022,6
0.73,47.2%,1.0%,CHI,WAS,0.0,2022,6
0.73,46.0%,0.2%,JAX,IND,0.5,2022,6
0.71,45.0%,0.1%,SEA,ARI,0.0,2022,6
0.66,42.2%,0.4%,NE,CLE,1.0,2022,6
0.65,41.7%,0.1%,KC,BUF,3.5,2022,6
0.64,36.2%,0.0%,ATL,SF,0.5,2022,6
0.63,39.7%,0.0%,NO,CIN,1.0,2022,6
0.63,39.0%,0.1%,MIA,MIN,2.0,2022,6
0.61,36.4%,0.0%,DEN,LAC,0.5,2022,6
0.56,21.9%,0.1%,CAR,LAR,0.0,2022,6
0.55,22.4%,0.1%,PIT,TB,0.0,2022,6
0.52,31.8%,0.1%,NYG,BAL,1.0,2022,6
0.44,27.6%,0.1%,DAL,PHI,2.5,2022,6
0.44,23.9%,0.0%,NYJ,GB,0.5,2022,6
